"link","exception","extraction_date"
https://www.newsweek.com/houston-makes-ncaa-final-four-first-time-since-phi-slama-jama-1984-1579669,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.newsweek.com/houston-makes-ncaa-final-four-first-time-since-phi-slama-jama-1984-1579669 on URL https://www.newsweek.com/houston-makes-ncaa-final-four-first-time-since-phi-slama-jama-1984-1579669,"2021-04-26"
https://www.forbes.com/sites/joshuadudley/2021/03/31/exclusive-interview-with-kurt-angle-about-his-new-podcast-dream-opponent-and-more/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/joshuadudley/2021/03/31/exclusive-interview-with-kurt-angle-about-his-new-podcast-dream-opponent-and-more/ on URL https://www.forbes.com/sites/joshuadudley/2021/03/31/exclusive-interview-with-kurt-angle-about-his-new-podcast-dream-opponent-and-more/,"2021-04-26"
https://www.forbes.com/sites/gabbyshacknai/2021/03/31/8-fitness-founders-on-the-lessons-theyve-learned-a-year-into-the-pandemic/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/gabbyshacknai/2021/03/31/8-fitness-founders-on-the-lessons-theyve-learned-a-year-into-the-pandemic/ on URL https://www.forbes.com/sites/gabbyshacknai/2021/03/31/8-fitness-founders-on-the-lessons-theyve-learned-a-year-into-the-pandemic/,"2021-04-26"
https://www.abc.net.au/news/2021-04-03/written-off-as-an-addict-afl-star-rod-owen-hiding-dark-secrets/13255584,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.abc.net.au/news/2021-04-03/written-off-as-an-addict-afl-star-rod-owen-hiding-dark-secrets/13255584 on URL https://www.abc.net.au/news/2021-04-03/written-off-as-an-addict-afl-star-rod-owen-hiding-dark-secrets/13255584,"2021-04-26"
https://www.forbes.com/advisor/investing/defi-decentralized-finance/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/advisor/investing/defi-decentralized-finance/ on URL https://www.forbes.com/advisor/investing/defi-decentralized-finance/,"2021-04-26"
https://www.abc.net.au/news/2021-04-04/why-australian-olympic-team-decline-since-sydney-2000/100031346,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.abc.net.au/news/2021-04-04/why-australian-olympic-team-decline-since-sydney-2000/100031346 on URL https://www.abc.net.au/news/2021-04-04/why-australian-olympic-team-decline-since-sydney-2000/100031346,"2021-04-26"
https://www.forbes.com/sites/ninabambysheva/2021/04/03/10-largest-venture-rounds-in-crypto-and-blockchain/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/ninabambysheva/2021/04/03/10-largest-venture-rounds-in-crypto-and-blockchain/ on URL https://www.forbes.com/sites/ninabambysheva/2021/04/03/10-largest-venture-rounds-in-crypto-and-blockchain/,"2021-04-26"
https://sportsbookwire.usatoday.com/2021/04/03/houston-at-baylor-ncaa-tournament-final-four-odds-picks-and-prediction/,Article `download()` failed with 404 Client Error: Not Found for url: https://sportsbookwire.usatoday.com/2021/04/03/houston-at-baylor-ncaa-tournament-final-four-odds-picks-and-prediction/ on URL https://sportsbookwire.usatoday.com/2021/04/03/houston-at-baylor-ncaa-tournament-final-four-odds-picks-and-prediction/,"2021-04-26"
https://sportsbookwire.usatoday.com/2021/04/03/ucla-at-gonzaga-ncaa-tournament-final-four-odds-picks-and-prediction/,Article `download()` failed with 404 Client Error: Not Found for url: https://sportsbookwire.usatoday.com/2021/04/03/ucla-at-gonzaga-ncaa-tournament-final-four-odds-picks-and-prediction/ on URL https://sportsbookwire.usatoday.com/2021/04/03/ucla-at-gonzaga-ncaa-tournament-final-four-odds-picks-and-prediction/,"2021-04-26"
https://www.startribune.com/austin-peay-knocks-off-unbeaten-murray-state-with-late-fg/600041994/,Article `download()` failed with 404 Client Error: Not Found for url: https://www.startribune.com/austin-peay-knocks-off-unbeaten-murray-state-with-late-fg/600041994/ on URL https://www.startribune.com/austin-peay-knocks-off-unbeaten-murray-state-with-late-fg/600041994/,"2021-04-26"
