"ID","FIRST_NAME","LAST_NAME","DISPLAY_FIRST_LAST","DISPLAY_LAST_COMMA_FIRST","DISPLAY_FI_LAST","PLAYER_SLUG","BIRTHDATE","SCHOOL","COUNTRY","LAST_AFFILIATION","HEIGHT","WEIGHT","SEASON_EXP","JERSEY","POSITION","ROSTERSTATUS","GAMES_PLAYED_CURRENT_SEASON_FLAG","TEAM_ID","TEAM_NAME","TEAM_ABBREVIATION","TEAM_CODE","TEAM_CITY","PLAYERCODE","FROM_YEAR","TO_YEAR","DLEAGUE_FLAG","NBA_FLAG","GAMES_PLAYED_FLAG","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","PTS","AST","REB","ALL_STAR_APPEARANCES","PIE"
"76001",Alaa,Abdelnaby,Alaa Abdelnaby,"Abdelnaby, Alaa",A. Abdelnaby,alaa-abdelnaby,"1968-06-24T00:00:00",Duke,USA,Duke/USA,82.0,240.0,4,"30",Forward,Inactive,N,"1610612757",Trail Blazers,POR,blazers,Portland,HISTADD_alaa_abdelnaby,"1990","1994",N,Y,Y,"1990","1","25",5.7,0.3,3.3,0.0,
"76002",Zaid,Abdul-Aziz,Zaid Abdul-Aziz,"Abdul-Aziz, Zaid",Z. Abdul-Aziz,zaid-abdul-aziz,"1946-04-07T00:00:00",Iowa State,USA,Iowa State/USA,81.0,235.0,9,"54",Center,Inactive,N,"1610612745",Rockets,HOU,rockets,Houston,HISTADD_zaid_abdul-aziz,"1968","1977",N,Y,Y,"1968","1","5",9.0,1.2,8.0,0.0,
"76003",Kareem,Abdul-Jabbar,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",K. Abdul-Jabbar,kareem-abdul-jabbar,"1947-04-16T00:00:00",UCLA,USA,UCLA/USA,86.0,225.0,19,"33",Center,Inactive,N,"1610612747",Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,"1969","1988",N,Y,Y,"1969","1","1",24.6,3.6,11.2,18.0,
"51",Mahmoud,Abdul-Rauf,Mahmoud Abdul-Rauf,"Abdul-Rauf, Mahmoud",M. Abdul-Rauf,mahmoud-abdul-rauf,"1969-03-09T00:00:00",Louisiana State,USA,Louisiana State/USA,73.0,162.0,8,"1",Guard,Inactive,N,"1610612743",Nuggets,DEN,nuggets,Denver,mahmoud_abdul-rauf,"1990","2000",N,Y,Y,"1990","1","3",14.6,3.5,1.9,0.0,
"1505",Tariq,Abdul-Wahad,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,tariq-abdul-wahad,"1974-11-03T00:00:00",San Jose State,France,San Jose State/France,78.0,235.0,6,"9",Forward-Guard,Inactive,N,"1610612758",Kings,SAC,kings,Sacramento,tariq_abdul-wahad,"1997","2003",N,Y,Y,"1997","1","11",7.8,1.1,3.3,0.0,
"949",Shareef,Abdur-Rahim,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,shareef-abdur-rahim,"1976-12-11T00:00:00",California,USA,California/USA,81.0,245.0,12,"3",Forward,Inactive,N,"1610612763",Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,"1996","2007",N,Y,Y,"1996","1","3",18.1,2.5,7.5,1.0,
"76005",Tom,Abernethy,Tom Abernethy,"Abernethy, Tom",T. Abernethy,tom-abernethy,"1954-05-06T00:00:00",Indiana,USA,Indiana/USA,79.0,220.0,4,"5",Forward,Inactive,N,"1610612744",Warriors,GOS,warriors,Golden State,HISTADD_tom_abernethy,"1976","1980",N,Y,Y,"1976","3","43",5.6,1.2,3.2,0.0,
"76006",Forest,Able,Forest Able,"Able, Forest",F. Able,forest-able,"1932-07-27T00:00:00",Western Kentucky,USA,Western Kentucky/USA,75.0,180.0,0,"6",Guard,Inactive,N,"1610612755",Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,"1956","1956",N,Y,Y,"1956",None,None,0.0,1.0,1.0,0.0,
"76007",John,Abramovic,John Abramovic,"Abramovic, John",J. Abramovic,john-abramovic,"1919-02-09T00:00:00",Salem,USA,Salem/USA,75.0,195.0,1,"",Forward,Inactive,N,"1610610031",Ironmen,PIT,ironmen,Pittsburgh,HISTADD_brooms_abramovic,"1946","1947",N,Y,Y,Undrafted,Undrafted,Undrafted,9.5,0.7,,0.0,
"203518",Alex,Abrines,Alex Abrines,"Abrines, Alex",A. Abrines,alex-abrines,"1993-08-01T00:00:00",FC Barcelona,Spain,FC Barcelona/Spain,78.0,200.0,2,"",Guard,Inactive,N,"0","","","","",alex_abrines,"2016","2018",N,Y,Y,"2013","2","32",5.3,0.5,1.4,0.0,
"101165",Alex,Acker,Alex Acker,"Acker, Alex",A. Acker,alex-acker,"1983-01-21T00:00:00",Pepperdine,USA,Pepperdine/USA,77.0,185.0,2,"3",Guard,Inactive,N,"1610612746",Clippers,LAC,clippers,Los Angeles,alex_acker,"2005","2008",Y,Y,Y,"2005","2","60",2.7,0.5,1.0,0.0,
"76008",Donald,Ackerman,Donald Ackerman,"Ackerman, Donald",D. Ackerman,donald-ackerman,"1930-09-04T00:00:00",Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,72.0,183.0,0, ,Guard,Inactive,N,"1610612752",Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,"1953","1953",N,Y,Y,"1953","2",None,1.5,0.8,0.5,0.0,
"76009",Mark,Acres,Mark Acres,"Acres, Mark",M. Acres,mark-acres,"1962-11-15T00:00:00",Oral Roberts,USA,Oral Roberts/USA,83.0,220.0,5,"42",Center,Inactive,N,"1610612753",Magic,ORL,magic,Orlando,HISTADD_mark_acres,"1987","1992",N,Y,Y,"1985","2","40",3.6,0.5,4.1,0.0,
"76010",Charles,Acton,Charles Acton,"Acton, Charles",C. Acton,charles-acton,"1942-01-11T00:00:00",Hillsdale,USA,Hillsdale/USA,78.0,210.0,0,"24",Forward,Inactive,N,"1610612745",Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,"1967","1967",N,Y,Y,Undrafted,Undrafted,Undrafted,3.3,0.5,2.0,0.0,
"203112",Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,quincy-acy,"1990-10-06T00:00:00",Baylor,USA,Baylor/USA,79.0,240.0,6,"",Forward,Inactive,N,"0","","","","",quincy_acy,"2012","2018",Y,Y,Y,"2012","2","37",4.9,0.6,3.5,0.0,
"76011",Alvan,Adams,Alvan Adams,"Adams, Alvan",A. Adams,alvan-adams,"1954-07-19T00:00:00",Oklahoma,USA,Oklahoma/USA,81.0,210.0,12,"33",Center,Inactive,N,"1610612756",Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,"1975","1987",N,Y,Y,"1975","1","4",14.1,4.1,7.0,1.0,
"76012",Don,Adams,Don Adams,"Adams, Don",D. Adams,don-adams,"1947-11-27T00:00:00",Northwestern,USA,Northwestern/USA,79.0,210.0,6,"10",Forward,Inactive,N,"1610612765",Pistons,DET,pistons,Detroit,HISTADD_don_adams,"1970","1976",N,Y,Y,"1970","8","120",8.7,1.8,5.6,0.0,
